timestamp,title,subtitle,value,currency,transaction_type,domain
2/17/2026,Aug-50,Interest payment,4.41,EUR,Bond,
2/17/2026,Brinker International,Buy Order,-501,EUR,Stocks,
2/17/2026,Argan Inc.,Buy Order,-1,,Fees,
2/17/2026,Eni,Sell Order,1,,Fees,
2/16/2026,Aug-29,Interest payment,17.69,EUR,Bond,
2/16/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
2/16/2026,Nitto Boseki,Buy Order,-501,EUR,Stocks,
2/16/2026,Euro Overnight Rate Swap EUR (Dist),Sell Order,997.52,EUR,Stocks,
2/16/2026,Nitto Boseki,Buy Order,-496.65,EUR,Stocks,
2/12/2026,Apple,Cash dividend,0.78,EUR,Stocks,
2/9/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
2/4/2026,Novo Nordisk (ADR),Buy Order,-1,,Fees,
2/4/2026,Exxon Mobil,Sell Order,1,,Fees,
2/4/2026,PILLON ERIK,Completed,500,EUR,Cash Deposit,
2/2/2026,FTSE All-World USD (Acc),Saving executed,-500,EUR,Stocks,
2/2/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
2/2/2026,Jul-30,Interest payment,17.6,EUR,Bond,
2/2/2026,Aug-35,Interest payment,38.77,EUR,Bond,
2/1/2026,Interest,TR cash interest,4.02,EUR,Cash Interests,
1/26/2026,Aug-29,Buy Order,-500.99,EUR,Bond,
1/26/2026,Dec-26,Buy Order,-1,EUR,Fees,
1/23/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
1/16/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
1/12/2026,Jan-29,Interest payment,5,EUR,Bond,
1/12/2026,Exxon Mobil,Buy Order,-1,,Fees,
1/12/2026,Eni,Buy Order,-1,,Fees,
1/9/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
1/5/2026,Global Water USD (Dist),Sell Order,1,,Fees,
1/5/2026,Nasdaq,Sell Order,1,,Fees,
1/5/2026,PILLON ERIK,Completed,500,EUR,Cash Deposit,
1/2/2026,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
1/1/2026,Interest,TR cash interest,3.01,EUR,Cash Interests,
12/24/2025,Dec-29,Fixed Interest,11.15,EUR,Bond,
12/23/2025,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
12/19/2025,Nasdaq,Cash dividend,2.46,EUR,Stocks,
12/16/2025,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
12/15/2025,Coca-Cola,Cash dividend,1.91,EUR,Stocks,
12/11/2025,Chevron,Cash dividend,6.07,EUR,Stocks,
12/9/2025,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
12/5/2025,Euro Overnight Rate Swap EUR (Dist),Cash dividend,4.53,EUR,Stocks,
12/4/2025,PILLON ERIK,Completed,500,EUR,Cash Deposit,
12/2/2025,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
12/1/2025,Interest,TR cash interest,2.17,EUR,Cash Interests,
12/1/2025,Dec-28,Interest payment,6.07,EUR,Bond,
11/26/2025,Global Water USD (Dist),Cash dividend,9.51,EUR,Stocks,
11/24/2025,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
11/17/2025,Alphabet (C),Sell Order,505.31,EUR,Stocks,
11/17/2025,Core S&P 500 USD (Acc),Saving executed,-100,EUR,Stocks,
11/13/2025,Apple,Cash dividend,0.8,EUR,Stocks,
11/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
11/3/2025,Erik Pillon,,500,EUR,Cash Deposit,
11/3/2025,Aug-50,1 % Bonus,-0.35,EUR,Bond,
11/3/2025,Aug-50,Buy Order,-251,EUR,Bond,
11/3/2025,Coca-Cola,Saving executed,-100,EUR,Stocks,
11/3/2025,Chevron,Saving executed,-50,EUR,Stocks,
11/3/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
11/3/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
11/3/2025,Apple,Saving executed,-50,EUR,Stocks,
11/1/2025,Interest,TR cash interest,0.7,EUR,Cash Interests,
10/27/2025,Dec-29,1 % Bonus,-1.81,EUR,Bond,
10/27/2025,Dec-29,Buy Order,-1,EUR,Bond,
10/27/2025,Nasdaq,Sell Order,955.6,EUR,Stocks,
10/23/2025,Chevron,Saving executed,-50,EUR,Stocks,
10/16/2025,Global Water USD (Dist),Saving executed,-200,EUR,Stocks,
10/16/2025,Chevron,Saving executed,-50,EUR,Stocks,
10/16/2025,Apple,Saving executed,-50,EUR,Stocks,
10/9/2025,Chevron,Saving executed,-50,EUR,Stocks,
10/6/2025,Erik Pillon,,500,EUR,Cash Deposit,
10/2/2025,Coca-Cola,Saving executed,-100,EUR,Stocks,
10/2/2025,Chevron,Saving executed,-50,EUR,Stocks,
10/2/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
10/2/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
10/2/2025,Apple,Saving executed,-50,EUR,Stocks,
10/1/2025,Coca-Cola,Cash dividend,0.63,EUR,Stocks,
10/1/2025,Interest,TR cash interest,1.8,EUR,Cash Interests,
9/26/2025,Nasdaq,Cash dividend,4.92,EUR,Stocks,
9/23/2025,Chevron,Saving executed,-50,EUR,Stocks,
9/16/2025,Global Water USD (Dist),Saving executed,-200,EUR,Stocks,
9/16/2025,Chevron,Saving executed,-50,EUR,Stocks,
9/16/2025,Apple,Saving executed,-50,EUR,Stocks,
9/15/2025,Alphabet (C),Cash dividend,0.24,EUR,Stocks,
9/10/2025,Chevron,Cash dividend,1.4,EUR,Stocks,
9/9/2025,Chevron,Saving executed,-50,EUR,Stocks,
9/5/2025,Euro Overnight Rate Swap EUR (Dist),Cash dividend,4.93,EUR,Stocks,
9/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
9/2/2025,Sep-43,Interest payment,48.54,EUR,Bond,
9/2/2025,Coca-Cola,Saving executed,-100,EUR,Stocks,
9/2/2025,Chevron,Saving executed,-50,EUR,Stocks,
9/2/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
9/2/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
9/2/2025,Apple,Saving executed,-50,EUR,Stocks,
9/1/2025,Interest,TR cash interest,3.41,EUR,Cash Interests,
8/25/2025,Chevron,Saving executed,-50,EUR,Stocks,
8/18/2025,Global Water USD (Dist),Saving executed,-200,EUR,Stocks,
8/18/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
8/18/2025,Chevron,Saving executed,-50,EUR,Stocks,
8/18/2025,Apple,Saving executed,-50,EUR,Stocks,
8/14/2025,Apple,Cash dividend,0.53,EUR,Stocks,
8/11/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
8/11/2025,Chevron,Saving executed,-50,EUR,Stocks,
8/4/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
8/4/2025,FTSE All-World USD (Acc),Saving executed,-500,EUR,Stocks,
8/4/2025,Chevron,Saving executed,-50,EUR,Stocks,
8/4/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
8/4/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
8/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
8/4/2025,Apple,Saving executed,-50,EUR,Stocks,
8/1/2025,Aug-35,Interest payment,38.77,EUR,Bond,
8/1/2025,Jul-30,Interest payment,17.6,EUR,Bond,
8/1/2025,Interest,TR cash interest,4.88,EUR,Cash Interests,
7/23/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
7/16/2025,Global Water USD (Dist),Saving executed,-200,EUR,Stocks,
7/16/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
7/16/2025,Apple,Saving executed,-50,EUR,Stocks,
7/15/2025,Jun-30,Buy Order,-1,EUR,Bond,
7/15/2025,Aug-35,Buy Order,-2,EUR,Bond,
7/9/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
7/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
7/2/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
7/2/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
7/2/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
7/2/2025,Apple,Saving executed,-50,EUR,Stocks,
7/1/2025,Interest,TR cash interest,8.96,EUR,Cash Interests,
6/27/2025,Nasdaq,Cash dividend,3.81,EUR,Stocks,
6/23/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
6/16/2025,Global Water USD (Dist),Saving executed,-100,EUR,Stocks,
6/16/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
6/16/2025,Alphabet (C),Cash dividend,0.1,EUR,Stocks,
6/16/2025,Apple,Saving executed,-50,EUR,Stocks,
6/9/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
6/5/2025,Euro Overnight Rate Swap EUR (Dist),Cash dividend,6.38,EUR,Stocks,
6/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
6/2/2025,Dec-28,Interest payment,6.07,EUR,Bond,
6/2/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
6/2/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
6/2/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
6/2/2025,Apple,Saving executed,-50,EUR,Stocks,
