"Expected GGWP (USD)","Policy Underwriting Month","Policy Underwriting Year","Reserving Class Code","Reserving Class Full Name level 1"
"11518.9294734","1","2016","DCPRO","PROPERTY (PRO)"
"770495.8702140364","1","2017","DCBON","BONDS (BON)"
"620967.1152877416","1","2017","DCFIL","FINANCIAL LINES (FIL)"
"6568100.636127357","1","2017","DCLIA","GENERAL LIABILITY (LIA)"
"470027.7721542864","1","2017","DCMAR","MARINE (MAR)"
"150312.3999475966","1","2017","DCPRO","PROPERTY (PRO)"
"26614.9801875","1","2017","ENCON","ENERGY (ENR)"
"1270647.16815112","1","2017","ENOFF","ENERGY (ENR)"
"1870600.9643229917","1","2017","ENONS","ENERGY (ENR)"
"238230.289279637","1","2017","LISHT","LIFE (LIF)"
"1156678.2660850526","1","2017","PRTOT","PROPERTY (PRO)"
"2405735.325016349","1","2018","DCBON","BONDS (BON)"
"782954.0550050724","1","2018","DCFIL","FINANCIAL LINES (FIL)"
"246433.68636633828","1","2018","DCLIA","GENERAL LIABILITY (LIA)"
"424512.61820079427","1","2018","DCMAR","MARINE (MAR)"
"381793.073452","1","2018","ENCON","ENERGY (ENR)"
"6919318.359948938","1","2018","ENOFF","ENERGY (ENR)"
"606189.317056576","1","2018","ENONS","ENERGY (ENR)"
"229306.34325925767","1","2018","LISHT","LIFE (LIF)"
"1603410.204724068","1","2018","PRTOT","PROPERTY (PRO)"
"6122260.163621879","1","2019","DCBON","BONDS (BON)"
"1937695.5255892354","1","2019","DCFIL","FINANCIAL LINES (FIL)"
"108125.79007013327","1","2019","DCLIA","GENERAL LIABILITY (LIA)"
"1265445.8495178432","1","2019","DCMAR","MARINE (MAR)"
"444783.4007845991","1","2019","DCPRO","PROPERTY (PRO)"
"65286.65","1","2019","ENCON","ENERGY (ENR)"
"6000986.13185054","1","2019","ENOFF","ENERGY (ENR)"
"1814077.104162456","1","2019","ENONS","ENERGY (ENR)"
"315437.93633097265","1","2019","LISHT","LIFE (LIF)"
"2101929.135498542","1","2019","PRTOT","PROPERTY (PRO)"
"312294.6442270105","1","2020","DCBON","BONDS (BON)"
"782409.6408867624","1","2020","DCFIL","FINANCIAL LINES (FIL)"
"31566.263559514653","1","2020","DCLIA","GENERAL LIABILITY (LIA)"
"40713.871","1","2020","DCMAR","MARINE (MAR)"
"10398125.173964253","1","2020","ENOFF","ENERGY (ENR)"
"9298168.18783223","1","2020","ENONS","ENERGY (ENR)"
"867774.5932279321","1","2020","LISHT","LIFE (LIF)"
"208933.98566603262","1","2020","PRTOT","PROPERTY (PRO)"
"273282.40823519643","1","2021","DCBON","BONDS (BON)"
"887466.329680703","1","2021","DCFIL","FINANCIAL LINES (FIL)"
"1753279.977823467","1","2021","DCMAR","MARINE (MAR)"
"2307281.4743073815","1","2021","ENCON","ENERGY (ENR)"
"7733149.586399751","1","2021","ENOFF","ENERGY (ENR)"
"7081537.577774745","1","2021","ENONS","ENERGY (ENR)"
"0.00050","1","2021","ENOTH","ENERGY (ENR)"
"307067.35169915843","1","2021","LISHT","LIFE (LIF)"
"563195.8660318847","1","2021","PRTOT","PROPERTY (PRO)"
"5666462.087314169","1","2022","DCBON","BONDS (BON)"
"818251.6422914003","1","2022","DCFIL","FINANCIAL LINES (FIL)"
"1251871.7413994216","1","2022","DCMAR","MARINE (MAR)"
"575645.025","1","2022","ENCON","ENERGY (ENR)"
"11054332.936238728","1","2022","ENOFF","ENERGY (ENR)"
"5252461.33330258","1","2022","ENONS","ENERGY (ENR)"
"462275.321","1","2022","ENOTH","ENERGY (ENR)"
"4167201.9945725272","1","2022","LISHT","LIFE (LIF)"
